"device","dataset","camera_path","camera_step","viewport","ssim","quad_tess","img quad_tess","geo_quad","img geo_quad","stpa","img stpa","quad_inst","img quad_inst","poly_tess","img poly_tess"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","29","1024 1024","0.9919","300.4835","2020-01-09T14-39-02-694.png","298.9197","2020-01-09T14-39-02-774.png","272.2526","2020-01-09T15-41-14-545.png","344.9537","2020-01-09T14-52-27-168.png","183.5138","2020-01-09T14-52-27-433.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","29","1024 1024","0.9919","317.2720","2020-01-09T14-39-02-694.png","309.9756","2020-01-09T14-39-02-774.png","279.7375","2020-01-09T15-41-14-545.png","363.5068","2020-01-09T14-52-27-168.png","208.6907","2020-01-09T14-52-27-433.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","29","1024 1024","0.9919","36.4092","2020-01-09T14-39-02-694.png","16.2847","2020-01-09T14-39-02-774.png","15.5933","2020-01-09T15-41-14-545.png","32.4543","2020-01-09T14-52-27-168.png","16.6676","2020-01-09T14-52-27-433.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","29","1024 1024","0.9919","218.4995","2020-01-09T14-39-02-694.png","75.2049","2020-01-09T14-39-02-774.png","71.9342","2020-01-09T15-41-14-545.png","229.9437","2020-01-09T14-52-27-168.png","76.5041","2020-01-09T14-52-27-433.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","29","2048 2048","0.9919","140.2912","2020-01-09T14-39-02-694.png","139.2901","2020-01-09T14-39-02-774.png","118.0745","2020-01-09T15-41-14-545.png","145.4734","2020-01-09T14-52-27-168.png","118.0207","2020-01-09T14-52-27-433.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","29","2048 2048","0.9919","73.1877","2020-01-09T14-39-02-694.png","74.7719","2020-01-09T14-39-02-774.png","65.3881","2020-01-09T15-41-14-545.png","76.4140","2020-01-09T14-52-27-168.png","60.2214","2020-01-09T14-52-27-433.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","29","2048 2048","0.9919","127.9514","2020-01-09T14-39-02-694.png","126.8512","2020-01-09T14-39-02-774.png","107.5635","2020-01-09T15-41-14-545.png","132.2825","2020-01-09T14-52-27-168.png","107.1909","2020-01-09T14-52-27-433.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","29","2048 2048","0.9919","136.2784","2020-01-09T14-39-02-694.png","135.3444","2020-01-09T14-39-02-774.png","114.1987","2020-01-09T15-41-14-545.png","140.2525","2020-01-09T14-52-27-168.png","114.2112","2020-01-09T14-52-27-433.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","29","2048 2048","0.9919","14.2878","2020-01-09T14-39-02-694.png","6.3343","2020-01-09T14-39-02-774.png","5.9464","2020-01-09T15-41-14-545.png","14.5039","2020-01-09T14-52-27-168.png","10.5643","2020-01-09T14-52-27-433.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","29","2048 2048","0.9919","99.2447","2020-01-09T14-39-02-694.png","28.6540","2020-01-09T14-39-02-774.png","26.7673","2020-01-09T15-41-14-545.png","100.3516","2020-01-09T14-52-27-168.png","60.8565","2020-01-09T14-52-27-433.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","29","512 512","0.9919","562.0504","2020-01-09T14-39-02-694.png","569.5896","2020-01-09T14-39-02-774.png","552.1994","2020-01-09T15-41-14-545.png","614.2393","2020-01-09T14-52-27-168.png","270.6345","2020-01-09T14-52-27-433.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","29","512 512","0.9919","326.2877","2020-01-09T14-39-02-694.png","346.1417","2020-01-09T14-39-02-774.png","334.7415","2020-01-09T15-41-14-545.png","223.9501","2020-01-09T14-52-27-168.png","135.6022","2020-01-09T14-52-27-433.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","29","512 512","0.9919","498.1221","2020-01-09T14-39-02-694.png","523.2151","2020-01-09T14-39-02-774.png","507.3103","2020-01-09T15-41-14-545.png","560.7959","2020-01-09T14-52-27-168.png","226.2147","2020-01-09T14-52-27-433.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","29","512 512","0.9919","528.3346","2020-01-09T14-39-02-694.png","523.6342","2020-01-09T14-39-02-774.png","507.9649","2020-01-09T15-41-14-545.png","548.6366","2020-01-09T14-52-27-168.png","260.4180","2020-01-09T14-52-27-433.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","29","512 512","0.9919","69.1807","2020-01-09T14-39-02-694.png","35.6412","2020-01-09T14-39-02-774.png","34.7392","2020-01-09T15-41-14-545.png","42.6668","2020-01-09T14-52-27-168.png","17.0993","2020-01-09T14-52-27-433.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","29","512 512","0.9919","297.4225","2020-01-09T14-39-02-694.png","169.3130","2020-01-09T14-39-02-774.png","165.8620","2020-01-09T15-41-14-545.png","363.1662","2020-01-09T14-52-27-168.png","77.2989","2020-01-09T14-52-27-433.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","39","1024 1024","0.9887","493.3618","2020-01-09T14-39-12-895.png","466.1396","2020-01-09T14-39-12-984.png","42.2444","2020-01-09T15-41-19-713.png","517.6707","2020-01-09T14-52-51-361.png","256.1810","2020-01-09T14-52-51-633.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","39","1024 1024","0.9887","272.1807","2020-01-09T14-39-12-895.png","288.9973","2020-01-09T14-39-12-984.png","27.5563","2020-01-09T15-41-19-713.png","220.8817","2020-01-09T14-52-51-361.png","129.9804","2020-01-09T14-52-51-633.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","39","1024 1024","0.9887","445.1290","2020-01-09T14-39-12-895.png","427.9503","2020-01-09T14-39-12-984.png","38.3469","2020-01-09T15-41-19-713.png","474.5386","2020-01-09T14-52-51-361.png","233.1002","2020-01-09T14-52-51-633.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","39","1024 1024","0.9887","471.7938","2020-01-09T14-39-12-895.png","441.2070","2020-01-09T14-39-12-984.png","40.8732","2020-01-09T15-41-19-713.png","483.0988","2020-01-09T14-52-51-361.png","246.2994","2020-01-09T14-52-51-633.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","39","1024 1024","0.9887","55.9087","2020-01-09T14-39-12-895.png","28.3597","2020-01-09T14-39-12-984.png","4.6245","2020-01-09T15-41-19-713.png","39.1939","2020-01-09T14-52-51-361.png","17.0101","2020-01-09T14-52-51-633.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","39","1024 1024","0.9887","268.1921","2020-01-09T14-39-12-895.png","133.2307","2020-01-09T14-39-12-984.png","20.6042","2020-01-09T15-41-19-713.png","312.3477","2020-01-09T14-52-51-361.png","76.9361","2020-01-09T14-52-51-633.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","39","2048 2048","0.9887","275.0895","2020-01-09T14-39-12-895.png","265.2745","2020-01-09T14-39-12-984.png","11.0674","2020-01-09T15-41-19-713.png","275.8857","2020-01-09T14-52-51-361.png","186.0119","2020-01-09T14-52-51-633.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","39","2048 2048","0.9887","142.7277","2020-01-09T14-39-12-895.png","148.0861","2020-01-09T14-39-12-984.png","7.1781","2020-01-09T15-41-19-713.png","131.1326","2020-01-09T14-52-51-361.png","95.0923","2020-01-09T14-52-51-633.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","39","2048 2048","0.9887","249.3784","2020-01-09T14-39-12-895.png","242.5330","2020-01-09T14-39-12-984.png","10.0226","2020-01-09T15-41-19-713.png","250.5933","2020-01-09T14-52-51-361.png","168.8271","2020-01-09T14-52-51-633.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","39","2048 2048","0.9887","265.2984","2020-01-09T14-39-12-895.png","257.9806","2020-01-09T14-39-12-984.png","10.7066","2020-01-09T15-41-19-713.png","260.6250","2020-01-09T14-52-51-361.png","179.0215","2020-01-09T14-52-51-633.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","39","2048 2048","0.9887","27.0043","2020-01-09T14-39-12-895.png","12.5081","2020-01-09T14-39-12-984.png","1.2399","2020-01-09T15-41-19-713.png","24.8223","2020-01-09T14-52-51-361.png","14.1820","2020-01-09T14-52-51-633.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","39","2048 2048","0.9887","171.7469","2020-01-09T14-39-12-895.png","56.8011","2020-01-09T14-39-12-984.png","5.5712","2020-01-09T15-41-19-713.png","180.6045","2020-01-09T14-52-51-361.png","71.1243","2020-01-09T14-52-51-633.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","39","512 512","0.9887","627.2070","2020-01-09T14-39-12-895.png","629.2276","2020-01-09T14-39-12-984.png","146.1612","2020-01-09T15-41-19-713.png","615.0478","2020-01-09T14-52-51-361.png","285.0042","2020-01-09T14-52-51-633.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","39","512 512","0.9887","365.9719","2020-01-09T14-39-12-895.png","397.6791","2020-01-09T14-39-12-984.png","95.0354","2020-01-09T15-41-19-713.png","224.0414","2020-01-09T14-52-51-361.png","144.4726","2020-01-09T14-52-51-633.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","39","512 512","0.9887","556.4459","2020-01-09T14-39-12-895.png","576.6580","2020-01-09T14-39-12-984.png","133.2832","2020-01-09T15-41-19-713.png","563.1836","2020-01-09T14-52-51-361.png","247.9913","2020-01-09T14-52-51-633.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","39","512 512","0.9887","577.5006","2020-01-09T14-39-12-895.png","591.5305","2020-01-09T14-39-12-984.png","141.4079","2020-01-09T15-41-19-713.png","551.4199","2020-01-09T14-52-51-361.png","274.8620","2020-01-09T14-52-51-633.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","39","512 512","0.9887","78.4400","2020-01-09T14-39-12-895.png","49.9303","2020-01-09T14-39-12-984.png","15.2729","2020-01-09T15-41-19-713.png","42.6947","2020-01-09T14-52-51-361.png","17.1068","2020-01-09T14-52-51-633.png"
