"ae","dataset","camera_path","camera_step","pos_x","pos_y","view_x","view_y"
"1","vdb-volume","spiral-zoom","127","0.745776","-0.50373","-0.049574","0.034999"
"1","vdb-volume","spiral-zoom","128","0.747693","-0.500152","-0.049721","0.034785"
"1","vdb-volume","spiral-zoom","129","0.749592","-0.496557","-0.049868","0.03457"
"1","vdb-volume","spiral-zoom","130","0.75147","-0.492945","-0.050014","0.034354"
"1","vdb-volume","spiral-zoom","131","0.75333","-0.489316","-0.05016","0.034137"
"1","vdb-volume","spiral-zoom","132","0.755172","-0.485672","-0.050304","0.033919"
"1","vdb-volume","spiral-zoom","133","0.756993","-0.482012","-0.050448","0.0337"
"1","vdb-volume","spiral-zoom","134","0.758796","-0.478335","-0.050591","0.03348"
"1","vdb-volume","spiral-zoom","135","0.760581","-0.474643","-0.050733","0.03326"
"1","vdb-volume","spiral-zoom","136","0.762345","-0.470936","-0.050874","0.033038"
"1","vdb-volume","spiral-zoom","137","0.764092","-0.467214","-0.051014","0.032815"
"1","vdb-volume","spiral-zoom","138","0.76582","-0.463477","-0.051154","0.032592"
"1","vdb-volume","spiral-zoom","139","0.767528","-0.459726","-0.051292","0.032368"
"1","vdb-volume","spiral-zoom","140","0.769218","-0.455961","-0.05143","0.032142"
"1","vdb-volume","spiral-zoom","141","0.770889","-0.452182","-0.051567","0.031916"
"1","vdb-volume","spiral-zoom","142","0.772541","-0.44839","-0.051703","0.031689"
"1","vdb-volume","spiral-zoom","143","0.774175","-0.444583","-0.051838","0.031461"
"1","vdb-volume","spiral-zoom","144","0.775789","-0.440764","-0.051973","0.031232"
"1","vdb-volume","spiral-zoom","145","0.777386","-0.436932","-0.052106","0.031003"
"1","vdb-volume","spiral-zoom","146","0.778963","-0.433088","-0.052239","0.030772"
"1","vdb-volume","spiral-zoom","147","0.780522","-0.429231","-0.05237","0.030541"
"1","vdb-volume","spiral-zoom","148","0.782062","-0.425363","-0.052501","0.030308"
"1","vdb-volume","spiral-zoom","149","0.783584","-0.421483","-0.052631","0.030075"
"1","vdb-volume","spiral-zoom","150","0.785088","-0.417591","-0.05276","0.029841"
"1","vdb-volume","spiral-zoom","151","0.786574","-0.413687","-0.052888","0.029607"
"1","vdb-volume","spiral-zoom","152","0.788038","-0.409775","-0.053015","0.029371"
"1","vdb-volume","spiral-zoom","153","0.789486","-0.405851","-0.053141","0.029135"
"1","vdb-volume","spiral-zoom","154","0.790917","-0.401916","-0.053266","0.028898"
"1","vdb-volume","spiral-zoom","155","0.792331","-0.397971","-0.05339","0.02866"
"1","vdb-volume","spiral-zoom","156","0.793722","-0.394017","-0.053514","0.028421"
"1","vdb-volume","spiral-zoom","157","0.795097","-0.390053","-0.053636","0.028181"
"1","vdb-volume","spiral-zoom","158","0.796455","-0.386079","-0.053757","0.027941"
"1","vdb-volume","spiral-zoom","159","0.797791","-0.382099","-0.053877","0.0277"
"1","vdb-volume","spiral-zoom","160","0.799117","-0.378107","-0.053997","0.027458"
"1","vdb-volume","spiral-zoom","161","0.800414","-0.37411","-0.054115","0.027216"
"1","vdb-volume","spiral-zoom","162","0.801702","-0.370102","-0.054232","0.026973"
"1","vdb-volume","spiral-zoom","163","0.802967","-0.366089","-0.054348","0.026729"
"1","vdb-volume","spiral-zoom","164","0.804216","-0.362067","-0.054464","0.026484"
"1","vdb-volume","spiral-zoom","165","0.805449","-0.358037","-0.054578","0.026239"
"1","vdb-volume","spiral-zoom","166","0.80666","-0.354001","-0.054691","0.025993"
"1","vdb-volume","spiral-zoom","167","0.807855","-0.349959","-0.054803","0.025747"
"1","vdb-volume","spiral-zoom","168","0.809035","-0.34591","-0.054914","0.025499"
"1","vdb-volume","spiral-zoom","169","0.810193","-0.341855","-0.055024","0.025251"
"1","vdb-volume","spiral-zoom","170","0.811335","-0.337796","-0.055133","0.025003"
"1","vdb-volume","spiral-zoom","171","0.812462","-0.333729","-0.055241","0.024754"
"1","vdb-volume","spiral-zoom","172","0.813567","-0.329659","-0.055348","0.024504"
"1","vdb-volume","spiral-zoom","173","0.814657","-0.325583","-0.055453","0.024254"
"1","vdb-volume","spiral-zoom","174","0.815732","-0.321502","-0.055558","0.024003"
"1","vdb-volume","spiral-zoom","175","0.816785","-0.317418","-0.0565","0.020799"
"1","vdb-volume","spiral-zoom","176","0.817823","-0.313329","-0.056594","0.020533"
"1","vdb-volume","spiral-zoom","177","0.818847","-0.309236","-0.056688","0.020267"
"1","vdb-volume","spiral-zoom","178","0.819848","-0.30514","-0.05678","0.020001"
"1","vdb-volume","spiral-zoom","179","0.820836","-0.301041","-0.05687","0.019734"
"1","vdb-volume","spiral-zoom","180","0.821802","-0.29694","-0.05696","0.019467"
"1","vdb-volume","spiral-zoom","181","0.822753","-0.292837","-0.057048","0.019199"
"1","vdb-volume","spiral-zoom","182","0.82369","-0.28873","-0.057135","0.018931"
"1","vdb-volume","spiral-zoom","183","0.824606","-0.284622","-0.057221","0.018662"
"1","vdb-volume","spiral-zoom","184","0.825508","-0.280512","-0.057305","0.018394"
"1","vdb-volume","spiral-zoom","185","0.826395","-0.2764","-0.057389","0.018125"
"1","vdb-volume","spiral-zoom","186","0.827262","-0.272288","-0.057471","0.017855"
"1","vdb-volume","spiral-zoom","187","0.828108","-0.268176","-0.057551","0.017586"
